Epoch,Avg_Reward
1,0.4309035391571262
2,0.47454345070586346
3,0.4456849290770225
4,0.4939819588540969
5,0.47005703680620786
6,0.3720231185588093
7,0.46960248578349606
8,0.4695795611891474
9,0.4357861069744889
10,0.4533772505909558
11,0.4549622060311302
12,0.4053114882235692
13,0.4508548251388449
14,0.4167459482861845
15,0.41124891668748675
16,0.5057370306946826
17,0.42590824332042815
18,0.4487013079572882
19,0.4904882835331449
20,0.4111218853436062
21,0.4383935365111028
22,0.45689007791213293
23,0.4150639708907077
24,0.48180118262520055
25,0.42131273973059474
26,0.45464123416309954
27,0.4535760542589927
28,0.4304923257145788
29,0.4452012963407558
30,0.4756355273262316
